date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-06-25,臺股期貨,外資,63228,34210,29018,48106,48907,-801
2018-06-25,臺股期貨,投信,1914,27517,-25603,80,95,-15
2018-06-25,臺股期貨,自營商,6395,11597,-5202,14994,12989,2005
2018-06-26,小型臺指,外資,464,7567,-7103,51525,52403,-878
2018-06-26,小型臺指,投信,86,0,86,3,0,3
2018-06-26,小型臺指,自營商,8334,12477,-4143,11811,12855,-1044
2018-06-26,臺股期貨,外資,62355,34939,27416,73503,75087,-1584
2018-06-26,臺股期貨,投信,1900,27527,-25627,84,108,-24
2018-06-26,臺股期貨,自營商,6868,11880,-5012,21693,21519,174
2018-06-27,小型臺指,外資,106,8693,-8587,38321,39784,-1463
2018-06-27,小型臺指,投信,86,0,86,0,0,0
2018-06-27,小型臺指,自營商,8270,12876,-4606,9951,10065,-114
2018-06-27,臺股期貨,外資,62285,33823,28462,54011,52961,1050
2018-06-27,臺股期貨,投信,1888,27818,-25930,55,358,-303
2018-06-27,臺股期貨,自營商,7115,10900,-3785,17781,16608,1173
2018-06-28,小型臺指,外資,354,11533,-11179,53357,55949,-2592
2018-06-28,小型臺指,投信,87,0,87,1,0,1
2018-06-28,小型臺指,自營商,8736,13837,-5101,11032,11487,-455
2018-06-28,臺股期貨,外資,64424,37871,26553,73612,75521,-1909
2018-06-28,臺股期貨,投信,1899,27830,-25931,40,41,-1
2018-06-28,臺股期貨,自營商,6677,11802,-5125,18728,20078,-1350
2018-06-29,小型臺指,外資,906,7438,-6532,49782,45135,4647
2018-06-29,小型臺指,投信,87,0,87,0,0,0
2018-06-29,小型臺指,自營商,10925,13980,-3055,11764,9678,2086
2018-06-29,臺股期貨,外資,67957,36112,31845,71601,66309,5292
2018-06-29,臺股期貨,投信,2006,26877,-24871,1060,0,1060
2018-06-29,臺股期貨,自營商,7336,11692,-4356,18180,17421,759
2018-07-02,小型臺指,外資,836,6791,-5955,38816,38199,617
2018-07-02,小型臺指,投信,92,0,92,5,0,5
2018-07-02,小型臺指,自營商,10682,12915,-2233,10361,9499,862
2018-07-02,臺股期貨,外資,64977,32786,32191,55371,55035,336
2018-07-02,臺股期貨,投信,1982,27100,-25118,46,293,-247
2018-07-02,臺股期貨,自營商,7031,10042,-3011,18727,17392,1335
2018-07-03,小型臺指,外資,497,8322,-7825,66045,67907,-1862
2018-07-03,小型臺指,投信,94,0,94,2,0,2
2018-07-03,小型臺指,自營商,10709,11710,-1001,17153,15793,1360
2018-07-03,臺股期貨,外資,64829,35912,28917,89141,92418,-3277
2018-07-03,臺股期貨,投信,2025,27309,-25284,112,278,-166
2018-07-03,臺股期貨,自營商,8224,10304,-2080,29725,28826,899
2018-07-04,小型臺指,外資,666,8531,-7865,41611,41613,-2
2018-07-04,小型臺指,投信,103,0,103,9,0,9
2018-07-04,小型臺指,自營商,11048,12564,-1516,9221,9606,-385
2018-07-04,臺股期貨,外資,63741,36087,27654,53716,54994,-1278
2018-07-04,臺股期貨,投信,2115,27296,-25181,119,16,103
2018-07-04,臺股期貨,自營商,8150,9880,-1730,18007,17701,306
2018-07-05,小型臺指,外資,749,13304,-12555,50279,54969,-4690
2018-07-05,小型臺指,投信,105,0,105,2,0,2
2018-07-05,小型臺指,自營商,11303,14563,-3260,11289,13309,-2020
